question,choices,good_choices
Que se passe-t-il si le quorum n'est pas atteint en Assemblée Générale ?,Aucune des 3 réponses;Il faut convoqué le CA;Les décisions votées seraient aussitôt rendues nulles;La voix du président compte double,Les décisions votées seraient aussitôt rendues nulles
A combien est limité le nombre de procurations lors d'une Assemblée Générale ?,La limite est fixé à 6 voix;La limite est fixé à 2 voix;Il n'est pas obligatoire de fixer des limites.;La limite est fixé à 4 voix,Il n'est pas obligatoire de fixer des limites.
Qu'est-ce que l'INPI ?,Institut National de la Propriété Informative;Institut National de la Propriété Industrielle;Institut National de la Propriété Intellectuel;Aucune des 3 réponses,Institut National de la Propriété Industrielle
Combien de temps une Junior doit-elle archiver ses études ?,"6 ans en général, 10 ans pour les documents avec signature électronique;5 ans en général, 10 ans pour les documents avec signature électronique;8 ans en général, 10 ans pour les documents avec signature électronique;7 ans en général, 10 ans pour les documents avec signature électronique","5 ans en général, 10 ans pour les documents avec signature électronique"
"Dans le cas d’un avenant allongeant le délai de l’étude, doit-on faire un avenant au Récapitulatif de Mission (RM) également ?",Oui dans tout les cas.;Non pas besoin;Seulement si les étudiants continuent à travailler durant cette période,Seulement si les étudiants continuent à travailler durant cette période
"Quelle est la durée minimale de garantie pour la livraison d'un produit technique, un site internet par exemple ?",5 mois;3 mois;4 mois;6 mois,3 mois
"Si le taux de TVA change en cours d'étude, avec quel taux la facture de solde sera-t-elle éditée ?","Le taux de TVA en vigueur au moment du devis;Le taux de TVA en vigueur à la date de signature de la CE;Le nouveau taux de TVA, la date d'édition de la facture fait foi;Le taux de TVA en vigueur au moment du virement","Le nouveau taux de TVA, la date d'édition de la facture fait foi"
Est-il possible de déduire la cotisation d'un intervenant sur l'un de ses Bulletins de Versement ?,"Oui c'est possible;Oui seulement si les statuts l'autorisent;Non, car un intervenant doit payer sa cotisation lors de l'adhésion;Non, sauf si la cotisation est calculé en pourcentage du BV dans les RI","Non, car un intervenant doit payer sa cotisation lors de l'adhésion"
Comment procéder si un intervenant n'a pas de numéro de sécurité sociale français ?,"Il faut créer un numéro de sécurité sociale standard en utilisant le sexe, l'année, le mois de naissance de l'intervenant et compléter avec des 9 jusqu'à obtenir 13 chiffres;Il faut créer un numéro de sécurité sociale standard pour les déclarations en utilisant le sexe, l'année de naissance, le mois de naissance de l'intervenant et compléter avec des 7 jusqu'à obtenir 13 chiffres;Il faut créer un numéro de sécurité sociale standard pour les déclarations en utilisant le sexe, l'année de naissance, le mois de naissance de l'intervenant et compléter avec des 6 jusqu'à obtenir 13 chiffres;Il faut créer un numéro de sécurité sociale standard pour les déclarations en utilisant le sexe, l'année de naissance, le mois de naissance de l'intervenant et compléter avec des 1 jusqu'à obtenir 13 chiffres","Il faut créer un numéro de sécurité sociale standard en utilisant le sexe, l'année, le mois de naissance de l'intervenant et compléter avec des 9 jusqu'à obtenir 13 chiffres"
Que faut-il avoir comme enseignement pour réaliser une étude documentaire ?,Il n'y a pas d'enseignements précis à avoir.;Aucun car une étude documentaire n'a pas de plus value pédagogique.;Etude de marché;Analyse de données,Il n'y a pas d'enseignements précis à avoir.
Quand doit -on déclarer un changement de logo à la Préfecture ?,Un changement de logo doit être déclaré au bout de 12 mois en Préfecture;Un changement de logo n'a pas besoin d'être déclaré en Préfecture;Un changement de logo doit être déclaré au bout de 3 mois en Préfecture;Un changement de logo doit être déclaré au bout de 6 mois en Préfecture,Un changement de logo n'a pas besoin d'être déclaré en Préfecture
Peut-on faire un avenant à un bon de commande ?,"Aucune de ces 3 réponses;Les avenants au bon de commande n'existent pas, il faut faire un bon de commande rectificatif.;Non il faut faire un avenant à la Convention Cadre.;Oui mais seulement en version papier.","Les avenants au bon de commande n'existent pas, il faut faire un bon de commande rectificatif."
Quelle est la durée de garantie pour une étude ?,"6 mois pour un livrable technique, 15 jours pour un livrable écrit;5 mois pour un livrable technique, 15 jours pour un livrable écrit;4 mois pour un livrable technique, 15 jours pour un livrable écrit;3 mois pour un livrable technique, 15 jours pour un livrable écrit","3 mois pour un livrable technique, 15 jours pour un livrable écrit"
Une Junior peut-elle se faire prêter une licence ?,"Non, s'il s'agit d'une licence commerciale.;Oui, s'il s'agit d'une licence non commerciale, une Junior peut se faire prêter une licence en signant un document de prêt précisant le nom du logiciel, numéro de licence, le motif du prêt.;Oui, s'il s'agit d'une licence commerciale dont l'éditeur autorise le prêt, une Junior peut se faire prêter une licence en signant un document de prêt précisant le nom du logiciel, numéro de licence, le motif du prêt et les dates du prêt.;Oui, s'il s'agit d'une licence commerciale dont l'éditeur autorise le prêt, une Junior peut se faire prêter une licence en signant un document de prêt précisant le nom du logiciel, numéro de licence, le motif du prêt.","Oui, s'il s'agit d'une licence commerciale dont l'éditeur autorise le prêt, une Junior peut se faire prêter une licence en signant un document de prêt précisant le nom du logiciel, numéro de licence, le motif du prêt et les dates du prêt."
Est-il possible de constituer un bureau de plus de 8 personnes en Junior ?,"C'est impossible il faut 4 membres au maximum.;Oui, attention simplement au niveau de l'organisation;Non, le bureau doit seulement être composé par le Président, SG, Trésorier;C'est impossible il faut un nombre impair de membres au bureau","Oui, attention simplement au niveau de l'organisation"
"Lorsqu'une Junior accueille un stagiaire, qui doit signer la Convention de stage ?","Le stagiaire et l'Etablissement.;Le stagiaire et la Junior.;Le stagiaire, la Junior et la CNJE.;Le stagiaire, la Junior et l'Etablissement.","Le stagiaire, la Junior et l'Etablissement."
Un stagiaire à la Junior peut-il travailler sur les études avec un Récapitulatif de Mission ?,"Oui seulement si c'est un administrateur de la Junior.;Oui seulement si c'est un membre externe à la Junior-Entreprise.;Oui, à condition que cela ne constitue pas sa mission principale;Non, c'est interdit.","Oui, à condition que cela ne constitue pas sa mission principale"
Une Junior peut-elle réaliser une étude pour un hôpital public ?,"Oui, du moment que l'étude ne concerne pas un domaine réglementé;Seulement si c'est une Junior pharmaceutique;Aucune des 3 réponses;Une Junior ne peut pas faire d'étude pour un Client du domaine médical","Oui, du moment que l'étude ne concerne pas un domaine réglementé"
Quelle proposition n'est pas une obligation d'une association (hors Alsace-Moselle) vis-à-vis de la Préfecture ?,Déclarer les intervenants non membres de l'EEE;Déclarer dans les 3 mois tout changement dans les Statuts.;Tenir à jour le Dossier de Suivi;Déclarer dans les 3 mois tout changement dans les RI.,Déclarer dans les 3 mois tout changement dans les RI.
Dans quels documents l'objet social de la Junior est-il défini ?,"Ils sont définis dans la charte de déontologie;Ils sont définis dans les Statuts, à l'article : ""Objet et moyens"";Ils sont définis dans les Bulletins d'Adhésion;Ils sont définis dans les RI , à l'article : ""Objet et moyens""","Ils sont définis dans les Statuts, à l'article : ""Objet et moyens"""
Quel numéro d'immatriculation légal n'est pas obligatoire pour une Junior ?,Un numéro de TVA intracommunautaire (délivré par les impôts);Un numéro SIRET et un code APE (délivrés par l'INSEE);Un numéro URSSAF (délivré par les URSSAF);Un numéro de commerce (chambre de commerce),Un numéro de commerce (chambre de commerce)
Doit-on conserver toutes les versions des statuts et du règlement intérieur ?,Oui et par ordre chronologique.;Oui sauf les statuts avant 1988.;Oui sauf les statuts avant 2000.;Non,Oui et par ordre chronologique.
Que trouve-t-on dans le classeur d'association ?,"PV d'AG, anciennes déclarations CNIL et autres documents;CRCA, PV d'AG, anciennes déclarations CNIL et autres documents;CRCA, PV d'AG, anciennes déclarations CNIL, licences...;CRCA, PV d'AG,demandes RGPD, licences...","CRCA, PV d'AG, anciennes déclarations CNIL, licences..."
Un PVRI permet-il de rémunérer les intervenants ?,"Oui, à condition qu'une FI ait été émise et payé par le client;Non, il faut attendre le PVRF;Oui, dans tout les cas","Oui, à condition qu'une FI ait été émise et payé par le client"
Les Juniors en Alsace-Moselle doivent-elles déclarer les changements de statuts en préfecture ?,"Non, il faut qu'elles les déclarent au Tribunal Administratif.;Non, il faut qu'elles les déclarent au Tribunal Judiciaire.;Non, il faut qu'elles les déclarent au CA de la CNJE.;Oui","Non, il faut qu'elles les déclarent au Tribunal Judiciaire."
Est-il possible de rémunérer un étudiant en utilisant l'acompte versé par le client ?,"Non, car l'acompte facture un pourcentage et pas des JEH;Oui;Non, car l'intervenant risquerait de ne jamais finir sa mission","Non, car l'acompte facture un pourcentage et pas des JEH"
Une Junior peut-elle réaliser une étude pour elle-même ?,Oui mais le président ne peut ni être chef de projet ou intervenant;Oui mais seulement si l'intervenant est un administrateur de la Junior.;Non cela pourrait engendrer des dérives dangereuses pour le Mouvement;Aucune des 3 réponses,Non cela pourrait engendrer des dérives dangereuses pour le Mouvement
Qu'est-ce que l'exercice social d'une Junior ?,Aucune des 3 réponses;Il s'agit de la période sur laquelle s'inscrit un mandat.;Il doit s'étendre du 1er janvier au 31 décembre de l'année;L'exercice social se base sur la cloture comptable.,Il s'agit de la période sur laquelle s'inscrit un mandat.
Qu'est-ce qu'un quitus ?,Bilan du Président et du Trésorier sortants voté en AGE.;Bilan du Président et du Trésorier entrants voté en AGE.;Bilan du Président et du Trésorier sortants voté en AGO.;Bilan du Président et du Trésorier entrants voté en AGO.,Bilan du Président et du Trésorier sortants voté en AGO.
"En cas d'avenant au RM, que mettre comme référence sur le BV ?","La référence du RM initial ainsi que la (ou les) référence de l'avenant au RM pour permettre de conserver une cohérence, entre le nombre de JEH par exemple.;Seulement la référence du dernier avenant au RM pour permettre de conserver une cohérence, entre le nombre de JEH par exemple.;La référence du RM initial ainsi que la référence du dernier avenant au RM pour permettre de conserver une cohérence, entre le nombre de JEH par exemple.;La référence du RM initial.","La référence du RM initial ainsi que la référence du dernier avenant au RM pour permettre de conserver une cohérence, entre le nombre de JEH par exemple."
Utiliser un CMS est-il déontologique ?,"Non, c'est interdit;Oui si étudiant capable de prouver une PVP suffisante",Oui si étudiant capable de prouver une PVP suffisante
Qu'est-ce que Sphinx ?,Logiciel de CAO pouvant être utilisé dans le cadre d'études commerciales;Logiciel de de dévelopement pouvant être utilisé dans le cadre d'études commerciales;Logiciel de traitement de données ne pouvant pas être utilisé dans le cadre d'études commerciales;Logiciel de traitement de données pouvant être utilisé dans le cadre d'études commerciales,Logiciel de traitement de données pouvant être utilisé dans le cadre d'études commerciales
Quelle est la différence entre une Assemblée Générale Ordinaire (AGO) et une Assemblée Générale Extraordinaire (AGE) ?,"Aucune des 3 réponses;Une AGO est prévue statutairement et permet le renouvellement de l'équipe dirigeante, une AGE n'est pas prévisible et répond à un certain nombre de cas exceptionnels définis par les Statuts;Une AGE est prévue statutairement et permet le renouvellement de l'équipe dirigeante, une AGO n'est pas prévisible et répond à un certain nombre de cas exceptionnels définis par les Statuts;Une AGO peut modifier les statuts contrairement à une AGE.","Une AGO est prévue statutairement et permet le renouvellement de l'équipe dirigeante, une AGE n'est pas prévisible et répond à un certain nombre de cas exceptionnels définis par les Statuts"
Une Junior peut-elle organiser un événement ?,"Oui, il faut limiter les bénéfices et que cela reste à titre exceptionnel.;Oui, mais que cela reste à titre exceptionnel.;Non c'est interdit;Oui aucun problème","Oui, il faut limiter les bénéfices et que cela reste à titre exceptionnel."
Quels sont les droits des personnes concernant la conservation des données personnelles ?,"accès,portabilité,effacement, modification, opposition;accès,portabilité, suppression, rectification, opposition;accès,portabilité,effacement, rectification, opposition;lecture ,portabilité,effacement, rectification, opposition","accès,portabilité,effacement, rectification, opposition"
Qu'est-ce qu'un processus ?,"Une suite logique d'étapes avec acteurs, temps...;Aucune des 2 réponses;Ne contient pas de procédures","Une suite logique d'étapes avec acteurs, temps..."
A quoi sert la Convention d'Etude ?,"C'est une convention qui présente l'offre commerciale et les conditions contractuelles. Elle lie et engage le client et la Junior autour d'un projet, une fois signée;C'est une convention qui présente l'offre commerciale et les conditions contractuelles. Elle lie et engage l'intervenant et la Junior autour d'un projet, une fois signée","C'est une convention qui présente l'offre commerciale et les conditions contractuelles. Elle lie et engage le client et la Junior autour d'un projet, une fois signée"
"Le client souhaite changer une partie du Cahier des Charges en cours d'étude, comment faire ?",Il faut réaliser un avenant de budget;Il faut réaliser un avenant de délai;Il faut réaliser un avenant de rupture;Il faut réaliser un avenant de méthode,Il faut réaliser un avenant de méthode
A quelles conditions puis-je faire un avenant de délai à un Récapitulatif de Mission par courriel ?,"Seulement si l'avenant de délai à la CE a été réalisé par courriel.;Seulement si l'étudiant est un étudiant français.;Aucune, tout avenant au Récapitulatif de Mission doit être sous forme papier.;Seulement s'il y a plus de 3 intervenants sur l'étude.","Aucune, tout avenant au Récapitulatif de Mission doit être sous forme papier."
Une étude de prospection respecte-elle le cadre déontologique des Juniors ?,Aucune des 3 réponses;Non;Oui si elle est suivi par une phase d'analyse.;Il faut demander l'accord du pôle Conseil avec un ticket.,Non
Existe-t-il un montant maximum de cotisation ?,"Oui, la limite est fixée à 280€;Oui, la limite est fixée à 75% du SMIC annuel;Oui, la limite est fixée à 450€;Non aucune",Non aucune
Quand est émis le Procès-Verbal de Recette finale ?,Il est émis apres la facture de solde;Il est émis avant la facture de solde;Il est émis apres le BV,Il est émis avant la facture de solde
Comment faire si l'on souhaite rajouter un point exceptionnel à une AGO ?,Au Conseil d'Administration;On fait une AGE : Assemblée Générale Extraordinaire;On fait une AGO : Assemblée Générale Ordinaire;On fait une AGM : Assemblée Générale Mixte,On fait une AGM : Assemblée Générale Mixte
Est-on obligé d'éditer des documents d'étude pour une étude pro-bono sans  indemnisation de l'intervenant ?,Seulement si le Client est un particulier.;C'est facultatif mais peut-être mis en place pour un meilleur suivi de l'étude pro-bono;C'est obligatoire pour un meilleur suivi de l'étude pro-bono;Seulement s'il y a plus de 3 étudiants sur l'étude.,C'est facultatif mais peut-être mis en place pour un meilleur suivi de l'étude pro-bono
Quel document doit être édité suite à une Assemblée Générale ?,Un Procès-Verbal qui reprendra les décisions prises par l'AG;Une Note d'AG qui reprendra les décisions prises par l'Assemblée Générale;Un Compte Rendu qui reprendra les décisions prises par l'Assemblée Générale;Un Plan d'Action qui reprendra les décisions prises par l'AG,Un Procès-Verbal qui reprendra les décisions prises par l'AG
A quel(s) document(s) un Récapitulatif de Mission doit-il faire référence ?,Aucune des 3 réponses;Au BV;Au PVRI;A la Convention d'Etude ou au Bon de Commande,A la Convention d'Etude ou au Bon de Commande
"Est-il possible de payer sa cotisation par des moyens ""numériques"" (Lydia Pro, PayPal…) ?","Non, c'est interdit;Tout à fait, tant qu'une preuve comptable est à disposition de la Junior","Tout à fait, tant qu'une preuve comptable est à disposition de la Junior"
Quelles règles faut-il respecter pour rédiger un Avenant à un Avenant à la Convention d'Etude ou à la Convention Cadre ?,il faut mentionner la raison de l'avenant de manière explicite;Il est impossible de rédiger un document de ce type.;Il faut faire faire figurer la référence a l'ancien avenant.;Aucune des 3 réponses,Il est impossible de rédiger un document de ce type.
Où est défini le délai de garantie d'une prestation ?,"Dans la Convention d'Etude, à l'article ""Garantie"".;Dans le RM à l'article ""Garantie"".;Dans le PVRF, à l'article ""Garantie"".;Dans le RP, à l'article ""Garantie"".","Dans la Convention d'Etude, à l'article ""Garantie""."
Le questionnaire de satisfaction est-il obligatoire ?,"Pas pour le client, mais il est obligatoire pour chaque intervenant.;Il est obligatoire pour chaque intervenant et pour le Client.;Il n'est pas obligatoire.","Pas pour le client, mais il est obligatoire pour chaque intervenant."
Quand est-il possible de signer un Récapitulatif de Mission avec un intervenant ?,Le premier Récapitulatif de Mission sur une étude peut être signé avant la signature du Bulletin d'Adhésion si la fin d'étude est dans 15 jours.;Le premier Récapitulatif de Mission sur une étude ne pourra être signé qu'après la Convention d'Etude qui lance l'étude;Le premier Récapitulatif de Mission sur une étude peut être signé avant la Convention d'Etude qui lance l'étude;Le premier Récapitulatif de Mission sur une étude peut être signé avant la signature du Bulletin d'Adhésion si l'étude à déjà commencé depuis 15 jours.,Le premier Récapitulatif de Mission sur une étude ne pourra être signé qu'après la Convention d'Etude qui lance l'étude
Qui est responsable pénalement  ?,Trésorier et SG au nom de la Junior;Président et SG au nom de la Junior;Tous les membres à hauteur de leurs responsabilités personnelles;Président et Tresorier,Président et Tresorier
Qu'est-ce qu'une Convention-Cadre ?,"C'est le document a utiliser en cas de sous-traitance entre Juniors.;C'est le nouveau document qui remplace la Convention Etude.;C'est un document permettant de simplifier les formalités administratives d'une relation commerciale avec un client, pour facilement renouveler les études avec lui. La Convention Cadre Agile permet de faire évoluer l'étude au fur et à mesure des signatures des Bons de Commande.;Aucune de ces 3 réponses","C'est un document permettant de simplifier les formalités administratives d'une relation commerciale avec un client, pour facilement renouveler les études avec lui. La Convention Cadre Agile permet de faire évoluer l'étude au fur et à mesure des signatures des Bons de Commande."
"A la fin d'une étude, à qui appartient le droit moral ? ?",Il appartient au Client.;Il appartient à la Junior;Il appartient à l'intervenant,Il appartient à l'intervenant
Comment définir une subvention commerciale ?,Une subvention commerciale donne droit à un service commercial;Une subvention commerciale ne donne pas droit à un service commercial,Une subvention commerciale donne droit à un service commercial
Est-on obligé d’attendre la date de fin théorique pour clôturer l’étude ?,"Oui;Non, vous pouvez faire signer le PVRI;Non vous pouvez faire signer l'avenant de rupture.;Non, vous pouvez faire signer le PVRF","Non, vous pouvez faire signer le PVRF"
A partir de quel moment la modification des Statuts est-elle valable ?,Deux semaines après que les nouveaux Statuts ont été votés par le CA;Deux semaines après que les nouveaux Statuts ont été votés en AGO;Dès que les nouveaux Statuts ont été votés en AGE/AGM;Dès que les nouveaux Statuts ont été votés par le CA,Dès que les nouveaux Statuts ont été votés en AGE/AGM
Que se passe-t-il si une Junior recrute un intervenant spécifiquement pour une mission ?,La cotisation ne résulte plus d'une volonté d'adhérer à la Junior mais devient un droit d'accès commercial aux missions et est donc soumise à TVA;La base URSSAF qui servira a déclarer les cotisations de cet étudiant augmente;La base URSSAF diminue;Aucune des 3 autres réponses,La cotisation ne résulte plus d'une volonté d'adhérer à la Junior mais devient un droit d'accès commercial aux missions et est donc soumise à TVA
Pour une étude débutée en 2020 et des Bulletins de Versement émis en 2021 quelle base URSSAF appliquer sur les Bulletins de Versement ?,Cela dépend de la date sur le PVRF.;Cela dépend de la date de fin théorique inscrit sur la CE.;La Base URSSAF 2021 car la date de référence est celle de l'émission du BV;La Base URSSAF 2020 car la date de référence est celle de l'émission du RM.,La Base URSSAF 2021 car la date de référence est celle de l'émission du BV
Combien de temps une liasse fiscale doit-elle être archivée ?,Une liasse fiscale doit être archivée à vie;Une liasse fiscale doit être archivée au moins 10 ans;Une liasse fiscale doit être archivée au moins 3 ans;Une liasse fiscale doit être archivée au moins 5 ans,Une liasse fiscale doit être archivée au moins 10 ans
Quelle est la différence entre une obligation de moyen et une obligation de résultat ?,L'obligation de résultat est la plus protectrice;L'obligation de moyen est la plus protectrice,L'obligation de moyen est la plus protectrice
Combien de temps doit-on conserver les feuilles d'émargement en Assemblée Générale ?,5 ans minimum;7 ans minimum;6 ans minimum;8 ans minimum,5 ans minimum
Dans quel cas une Junior peut-elle faire de la formation lors d'une étude ?,"Aucune des 3 réponses;Dans le cadre d'une conférence.;Seulement auprès de particuliers et d'organismes de formation;Formation en lien avec enseignement de l'école, support adapté au client","Formation en lien avec enseignement de l'école, support adapté au client"
Qui est responsable pénalement et civilement dans une association ?,Tous les membres à hauteur de leurs responsabilités personnelles;Président et SG au nom de la Junior;Trésorier et SG au nom de la Junior;Président et Tresorier,Tous les membres à hauteur de leurs responsabilités personnelles
Quel document n'est pas obligatoire pour un dossier étudiant complet ?,Un document officiel présentant le Numéro de Sécurité Sociale;Carte étudiante et certificat de scolarité;Le CV et la lettre de motivation;La CVEC,Le CV et la lettre de motivation;La CVEC
Comment faire s'il y a plusieurs clients sur une même étude ?,Il faut faire autant de CE que de clients.;Il faut faire une convention (multi) partite.;Il faut faire une CE seulement avec le client qui paye l'étude.,Il faut faire une convention (multi) partite.
"Quelle est la juridiction compétente à faire figurer dans une Convention d'Etude à l'article ""Litiges"" ?","Pour une institution publique, il s'agit du CA de la CNJE.;Pour une institution publique, il s'agit du tribunal judiciaire.;Pour une institution publique, il s'agit du tribunal administratif.;Pour une institution publique, il s'agit de l'AGP","Pour une institution publique, il s'agit du tribunal administratif."
