question,choices,good_choices
Quand a lieu l'élection de l'équipe CNJE ?,AGP de septembre;AGP de février;AGP du CNE;AGP de juin,AGP de juin
Qui est le lauréat du Prix d'Excellence en 2022 ?,Dauphine Junior Consulting;Junior Centrale Supélec;ESCadrille Toulouse Junior Conseil;N7 Consulting,Junior Centrale Supélec
Qui sont les partenaires Premium de la CNJE ?,"BNP, Alten, EY, Engie;BNP, Altran, EY, Engie;BNP, Alten, KPMG, Engie;Société Générale, Alten, EY, Engie","BNP, Alten, EY, Engie"
Combien y-a-t-il d'AGP par an ?,4;3;6;5,5
Quelle Norme n'existe pas ?,Norme J.I.;Norme J.E.;Norme J.C.,Norme J.C.
"Pour un nouvel Auditeur-Conseil, le nombre minimal d'Audits-Conseil obligatoires à réaliser est de :",4;3;1;2,3
"Dans ces propositions, quel sujet n'est pas abordé/voté en AGP ?",Annonce des vainqueurs des prix;Vote des Statuts;Informations sur l'évolution du mouvement;Vote des passages de marque,Annonce des vainqueurs des prix
Quel processus ne fait pas partie des 5 processus Trésorerie définis dans la Norme J.E. ?,Comptabilité;Ventes;Achats;Transversal,Comptabilité
"Si une Junior cherche à progresser dans un domaine en particulier, je peux la renvoyer vers",Kiwi Légal;Le Pôle Audit de la CNJE;Le Pôle Conseil de la CNJE;Le Pôle Développement de la CNJE,Le Pôle Développement de la CNJE
Quel est le nombre de Junior dans le mouvement ? (En 2021),200 Juniors;300 Juniors;450 Juniors;150 Juniors,200 Juniors
Lequel de ces éléments ne fait pas partie de la stratégie du mouvement des Junior-Entreprises ?,"Rassembler les Junior-entrepreneurs en un mouvement acteur;Faire des Junior-Entreprises un mouvement moderne, digital et jeune;Renforcer la proposition de valeur des Junior-Entreprises;Ancrer les Junior-Entreprises comme structures expertes et légitimes","Faire des Junior-Entreprises un mouvement moderne, digital et jeune"
Que signifie JEE ?,Junior-Entreprise Europe;Junior-Entreprise d'Exception;Junior-Entreprise d'Excellence;Junior-Entreprise Etrangère,Junior-Entreprise Europe
Quelle est la date de création de la première Junior,1984;1967;1969;1901,1967
Quelle est la durée d'un mandat CNJE et quand commence-t-il ?,"Un an, du 1er janvier au 31 décembre;Un an, du 1er septembre au 31 août de l'année suivante;Un an, du 1er juillet au 30 juin de l'année suivante;Un an, du 1er mars au 28 février de l'année suivante","Un an, du 1er juillet au 30 juin de l'année suivante"
Quelle est la vision du Mouvement à l'horizon 2024 ?,Enrichir l'expérience client afin de contribuer aux transformations de la société;Enrichir l'expérience Junior-Entreprise afin de contribuer aux transformations de la société;Enrichir l'expérience intervenant afin de contribuer aux transformations de la société;Enrichir l'expérience étudiant afin de contribuer aux transformations de la société,Enrichir l'expérience Junior-Entreprise afin de contribuer aux transformations de la société
"Dans ces propositions, quel prix n'est pas présenté au CNE ?",Prix de la Meilleure Approche Commerciale;Meilleur Partenaire de l’Enseignement Supérieur;Prix de la Meilleure Étude en Ingénierie;Prix du meilleur Espoir,Prix de la Meilleure Approche Commerciale
Combien y a t-il d'AGP (Assemblée Général des Présidents) dans l'année ?,5;6;3;4,5
Que signifie AGP ?,Assemblé Générale Partielle;Assemblée Globale des Présidents;Assemblée Générale Permanente;Assemblée Générale des Présidents,Assemblée Générale des Présidents
Qu'est-ce que la L30 ?,Liste des 30 meilleurs Auditeurs-Conseil du mouvement;Liste des 30 meilleurs Junior-Entreprises du mouvement;Liste des 30 meilleurs études du mouvement;Liste des 30 meilleurs projets du mouvement,Liste des 30 meilleurs Junior-Entreprises du mouvement
Quel risque n'a pas été utilisé pour construire les Normes CNJE ?,Opérationnels;Légaux;Financiers;Comptabilité,Comptabilité
Quel est le pays avec le plus de Junior-Entreprise ?,Etats-Unis;Allemagne;Bresil;France,Bresil
Combien y a-t-il de WEFA chaque année ? Quand ?,"Deux : le WEFAP en mars et le WEFAA en novembre;Quatre : le WEFAH, le WEFAP, le WEFAE et le WEFAA;Aucune des trois réponses;Deux : le WEFAH en janvier et le WEFAE en juin",Deux : le WEFAH en janvier et le WEFAE en juin
Les MDD sont ?,Réalisé par des Formateurs CNJE;Des formations personnalisées pour chaque Junior qui le demande;Gratuits;Les 3 réponses précédentes.,Les 3 réponses précédentes.
Quelle est le document qui défini les critères pour être Junior-Entreprise ?,Aucun document ne formalise ces critères;RI CNJE;Statut CNJE;Norme JE,Norme JE
