question,choices,good_choices
Quels sont les points définis dans la Lettre de Bérégovoy en 1984 ?,La composition d'une Junior;La possibilité d'une phase sans caractère pédagogique si suivi d'une phase d'analyse;Le statut fiscal des Juniors;L'utilisation du JEH comme unité de facturation,Le statut fiscal des Juniors
Quel domaine de compétence est interdit en Junior ?,Professions règlementées;Aéronautique;Le design;Les études de marché,Professions règlementées
"Quelle est la branche du droit qui s'applique aux associations, et donc aux Juniors ?",Les associations sont soumises au droit judiciaire;Les associations sont soumises au droit civil;Les associations sont soumises au droit pénal;Les associations sont soumises au droit du commerce,Les associations sont soumises au droit civil
Laquelle de ces affirmations est vraie concernant les stagiaires ?,Il est possible d'avoir 4 stagiaires simultanément en Junior;Le président peut signer sa propre convention de stage;Le sujet du stage ne doit pas porter sur des études;Il est interdit de réménurer les stagiaires en Junior,Le sujet du stage ne doit pas porter sur des études
Comment est calculée la Base URSSAF ?,4 x le SMIC Annuel au 1er janvier de l'année;4 x le SMIC Annuel au 31 décembre de l'année;4 x le SMIC Horaire au 1er janvier de l'année;4 x le SMIC Horaire au 31 décembre de l'année,4 x le SMIC Horaire au 1er janvier de l'année
Le taux d'ouverture est,4*SMIC;4*SMIC*JEH;le taux de fermeture - 1;1 - le taux de fermeture,1 - le taux de fermeture
A quoi sert le taux d'ouverture ?,Réduire les cotisations URSSAF;Garantir la gestion désintéressée de la Junior;Ne pas payer d'IS,Garantir la gestion désintéressée de la Junior
Qu'est ce qui constitue un prêt de main d'œuvre ?,L'étudiant est à la fois stagiaire et à la fois intervenant sur une étude;L'étudiant reçoit des ordres directs du client en dehors du Cahier des Charges;L'étudiant a des contacts directs avec le client;L'étudiant travaille directement chez le client sans la présence du Chef de Projet,L'étudiant reçoit des ordres directs du client en dehors du Cahier des Charges
Les comptes rendus de Conseil d'Administration sont à conserver,5 ans;3 ans;A vie;10 ans,5 ans
Quelle est la date de parution de la Loi Waldeck Rousseau ?,1901;1951;1988;1801,1901
A quelle date l'arrêté et la lettre ministérielle ont été émis ?,1978;1998;1988;2008,1988
Une Junior est une association,"à but non économique et à objectif pédagogique;à but économique et à objectif pédagogique;à but lucratif, à vocation économique et à objectif pédagogique;à but non lucratif, à vocation économique et à objectif pédagogique","à but non lucratif, à vocation économique et à objectif pédagogique"
Au-dessus de quel seuil le Taux d'Ouverture doit-il être maintenu en Junior ?,0.3;0.4;0.7;0.6,0.7
Quelles sont les deux règles essentielles liées à la communication et la publicité en Junior ?,Transparence sur le statut d'étudiant et non générique;Transparence sur le statut d'étudiant et possibilité de mettre en avant le faible prix des études;Elles doivent être gratuites;Transparence sur le statut d'étudiant et non agressivité du message,Transparence sur le statut d'étudiant et non agressivité du message
Une étude de prospection respecte-elle le cadre déontologique des Juniors ?,Oui;Non,Non
